HRR_ID,CGGA_ID,Status
HRR024685,CGGA_1217,Mapped
HRR024686,CGGA_1222,Mapped
HRR024687,CGGA_1226,Mapped
HRR024688,CGGA_1227,Mapped
HRR024689,CGGA_1231,Mapped
HRR024690,CGGA_1232,Mapped
HRR024691,CGGA_1237,Mapped
HRR024692,CGGA_1242,Mapped
HRR024693,CGGA_1244,Mapped
HRR024694,CGGA_1250,Mapped
HRR024695,CGGA_1251,Mapped
HRR024696,CGGA_1254,Mapped
HRR024698,CGGA_1256,Mapped
HRR024699,CGGA_1257,Mapped
HRR024700,CGGA_1259,Mapped
HRR024701,CGGA_1260,Mapped
HRR024702,CGGA_1261,Mapped
HRR024703,CGGA_1263,Mapped
HRR024704,CGGA_1266,Mapped
HRR024705,CGGA_1274,Mapped
HRR024706,CGGA_1277,Mapped
HRR024707,CGGA_1279,Mapped
HRR024708,CGGA_1282,Mapped
HRR024709,CGGA_1287,Mapped
HRR024710,CGGA_1288,Mapped
